GUID идентификатор элемента;Название элемента;Путь к элементу;Адрес (youtube);Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1
C68183E5-DD33-1395-96B4-4E1B546D2ED5;Как похудеть за 1 месяц на 10 кг в 2018 году;kak-pohudet-za-1-mesyac-na-10-kg-;;;;;;;;;;
D2ED06EC-1C4E-C9E0-24F0-5C9BADB687EB;Особенности летних диет;osobennosti-letnih-diet;;;;;;;;;;
FD68F180-058E-5C5B-C65D-083B5C52B8FF;Как проходит трехдневная диета;kak-prohodit-trehdnevnaya-dieta-;;;;;;;;;;
1B4EA286-A6A6-3973-D4BD-F75AA401A050;Продукты, уменьшающие уровень холестерина;produkty-umenshayuschie-uroven-holesterina;;;;;;;;;;
6E33643F-E5EA-F221-1BB1-B4EC7830B7AD;Гречневая монодиета;grechnevaya-monodieta;;;;;;;;;;
6D052525-D178-E359-5234-D63FD5C98002;Избавляемся от изжоги с помощью диеты;izbavlyaemsya-ot-izzhogi-s-pomoschyu-diety;;;;;;;;;;
E278DC2E-B67E-78CE-17BA-A7B79CFA5E6E;Низкокалорийная овсяная диета;nizkokaloriynaya-ovsyanaya-dieta;;;;;;;;;;
C8F1815B-CB7C-B21F-F159-D72AEB043514;Можно ли похудеть, принимая большие дозы слабительного;mozhno-li-pohudet-prinimaya-bolshie-dozy-slabitelnogo;;;;;;;;;;
D423B73B-2B0E-C0C1-0041-E57B56997182;"Экспресс-диета &laquo;Лесенка&raquo;";ekspress-dieta-lesenka;;;;;;;;;;
28044F11-5423-FB99-ABC4-647941211A82;Как не опьянеть на вечеринке;kak-ne-opyanet-na-vecherinke;;;;;;;;;;
06EDAF60-7019-8754-F376-1A14A1D05D09;Что больше вредит фигуре - жирное, мучное или сладкое;chto-bolshe-vredit-figure---zhirnoe-muchnoe-ili-sladkoe-;;;;;;;;;;
004FF498-4044-6431-9EB5-BF272D1AEAD9;Можно ли подростку садиться на диету?;mozhno-li-podrostku-saditsya-na-dietu;;;;;;;;;;
762F27CD-D935-5C84-CF7D-48ABAE4F1CF4;Как справиться с чувством голода во время диеты?;kak-spravitsya-s-chuvstvom-goloda-vo-vremya-diety;;;;;;;;;;
F0917D24-BD1F-42AD-CC57-0EB9BE4792F5;Что можно есть при молочнице;chto-mozhno-est-pri-molochnice;;;;;;;;;;
E5FD18DB-2310-0AC7-8767-BFDA5C3ADAB0;Диета для женщин после 40 лет;dieta-dlya-zhenschin-posle-40-let;;;;;;;;;;
01C5801C-30F1-4AF3-E99B-43365F3FA98E;Правильное питание - это приятно и просто!;pravilnoe-pitanie---eto-priyatno-i-prosto;4PlRtGzVRbY;;;;;;;;;
F46E4B82-51EA-17DE-7E4E-34929A7F4929;Как отказаться от сахара;kak-otkazatsya-ot-sahara;;;;;;;;;;
CAFECB54-B0C7-8B8F-44AF-8A84954CE979;Как отказаться от сладкого и мучного;kak-otkazatsya-ot-sladkogo-i-muchnogo;vKUOmcI530c;;;;;;;;;
B394E2B9-EBDB-1A39-CB62-CC7E89F5FA21;Как похудеть на супах;kak-pohudet-na-supah;31X04jORWSY;;;;;;;;;
F44089F9-3766-0E33-9E1C-2FFE7BC4FDFF;Какие продукты стимулируют потенцию;kakie-produkty-stimuliruyut-potenciyu;;;;;;;;;;
0407AE86-2794-29F2-D5B0-8351B3E5C4C9;Основные правила белковой диеты;osnovnye-pravila-belkovoy-diety;;;;;;;;;;
C81A739A-E00F-C015-C337-76C14E80709B;Как похудеть на яблоках;kak-pohudet-na-yablokah;;;;;;;;;;
6731DEC9-5448-874F-913E-4CDF05D78AF8;Безвредная овощная диета;bezvrednaya-ovoschnaya-dieta;;;;;;;;;;
2CAD400F-BD17-4094-6BA4-3285F12D92A5;Как питаться, чтобы не набрать лишний вес;kak-pitatsya-chtoby-ne-nabrat-lishniy-ves;;;;;;;;;;
FD0DA2AD-6C9F-E6D4-0A71-A911A7B63233;Как очистить печень: выбираем диету;kak-ochistit-pechen-vybiraem-dietu;;;;;;;;;;
F841882F-2CC7-6965-B7D7-2CECEFA04D44;Диета Елены Малышевой;dieta-eleny-malyshevoy;;;;;;;;;;
2DAAB234-009C-1738-1F4C-C497D44952CC;Японская диета: основные правила;yaponskaya-dieta-osnovnye-pravila;;;;;;;;;;
4DD246E4-404E-AA90-9A23-FA8AE3658B6E;Почему белковая диета вредна;pochemu-belkovaya-dieta-vredna;;;;;;;;;;
39CAB03F-8F9E-16FF-3F99-B0A3BF248B3F;Кремлевская диета;kremlevskaya-dieta;;;;;;;;;;
7D6ABF45-72BE-546D-C80B-EED68414CA78;Почему все время хочется сладкого;pochemu-vse-vremya-hochetsya-sladkogo;l-itmvDPYfs]</li>  </ul>;;;;;;;;;
961CAE17-D535-407E-5066-233ACB95EC3C;Худеем безвредно для здоровья;hudeem-bezvredno-dlya-zdorovya;;;;;;;;;;
ADED5D2D-51FB-A018-1ECF-B15AE97DEB03;Несколько правил здорового питания;neskolko-pravil-zdorovogo-pitaniya;;;;;;;;;;
BF22B3B5-94AE-85F7-FA24-793F424706D2;Как диеты влияют на состояние зубов;kak-diety-vliyayut-na-sostoyanie-zubov;;;;;;;;;;
8DA391B9-8C8A-0041-6362-CC5DD421BBA1;Как похудеть за 2 дня;kak-pohudet-za-2-dnya;Q44iI4sxrEY;;;;;;;;;
C586B29F-7DE0-02FD-8A49-17AFF7A5E0A0;Как прийти в форму к лету?;kak-priyti-v-formu-k-letu;b2JhfqO1x9A;;;;;;;;;
2C41FD1C-4B4D-98EA-3F69-F488453E8899;Диета Аткинса;dieta-atkinsa;;;;;;;;;;
18A05765-DC6F-861B-5B17-41EEE7C46A8F;Лимонная диета для похудения;limonnaya-dieta-dlya-pohudeniya;kDReJLQLFRE;;;;;;;;;
525AD101-41CC-71B2-1399-BA7A1737FFE3;Тройная формула для снижения веса;troynaya-formula-dlya-snizheniya-vesa;;;;;;;;;;
C400B792-A77A-BDBF-3471-F1BD7D8BD449;Как морально настроиться на похудение;kak-moralno-nastroitsya-na-pohudenie;;;;;;;;;;
10C2E096-9C0F-2C36-CF13-2552BBC5C8DC;Как быстро подтянуть фигуру к лету?;kak-bystro-podtyanut-figuru-k-letu;RuaYxajw0h0;;;;;;;;;
F04863C3-5960-1518-BC14-7FD30FE02510;Сколько калорий нужно в день, чтобы похудеть?;skolko-kaloriy-nuzhno-v-den-chtoby-pohudet;;;;;;;;;;
DB8AA381-AF29-A53D-BA59-8923D91E99A5;Возрастная диета;vozrastnaya-dieta;;;;;;;;;;
007CDC5C-8BF1-E36B-9F01-95DC219607F7;Диетическое питание для детей с избыточным весом;dieticheskoe-pitanie-dlya-detey-s-izbytochnym-vesom;;;;;;;;;;
88FFFF5F-1E0A-B0E0-699D-5674AFE49D4F;Опасные диеты;opasnye-diety;;;;;;;;;;
56F8D2C2-CA54-BF95-C50E-44E38765FE18;Диета Шангри-ла;dieta-shangri-la;;;;;;;;;;
1A3785E9-B988-5FC0-0F34-0EFCF21E9335;Какая диета подходит мужчинам для набора веса;kakaya-dieta-podhodit-muzhchinam-dlya-nabora-vesa;;;;;;;;;;
B620154A-CE29-AD5C-B847-80EB1254A45C;Какие продукты исключить при подагре;kakie-produkty-isklyuchit-pri-podagre;;;;;;;;;;
C58C1F48-9B88-523D-13A2-F93B2C3F8379;Как нужно есть, чтобы поправиться;kak-nuzhno-est-chtoby-popravitsya;;;;;;;;;;
3824A86A-37A1-5158-13D7-C9E58FEE49AA;Как набрать вес астенику;kak-nabrat-ves-asteniku;;;;;;;;;;
54F55C82-DB6B-EC24-1F3D-FD438EC41F19;Как вывести лишнюю соль из организма;kak-vyvesti-lishnyuyu-sol-iz-organizma;;;;;;;;;;
E8C1FC90-E174-2E4A-B7E0-68A034BB66B2;Диеты при обостренном гастрите и панкреатите;diety-pri-obostrennom-gastrite-i-pankreatite;;;;;;;;;;
38157A7A-CF67-5CC2-949E-735BF169337D;Диета после операции по ушиванию паховой грыжи;dieta-posle-operacii-po-ushivaniyu-pahovoy-gryzhi-;;;;;;;;;;
549816AD-9265-0E94-A33C-3B08ECAABBAA;Правильное питание - залог здоровья и стройной фигуры;pravilnoe-pitanie---zalog-zdorovya-i-stroynoy-figury;;;;;;;;;;
F47D0295-39A6-8F44-7DC7-8726887EDB2C;Разгрузочный день на молокочае;razgruzochnyy-den-na-molokochae-;GQStaA4VTdE;;;;;;;;;
C0A87515-DDAA-4CB5-0B49-7E2DC10E7917;Отзывы о квашеной или морской капусте для похудения;otzyvy-o-kvashenoy-ili-morskoy-kapuste-dlya-pohudeniya;;;;;;;;;;
2F611498-7FAD-C512-2086-D23356D21555;Как быстро похудеть после родов;kak-bystro-pohudet-posle-rodov;BjCaqNrPNgk;;;;;;;;;
D5C2905C-BE57-07FE-DFBC-9D0EC6D28735;Работа и диета диабетика;rabota-i-dieta-diabetika;;;;;;;;;;
F3398EF8-6ABA-0A62-2DAC-3D9A3A842FF9;Причины отказаться от сахара;prichiny-otkazatsya-ot-sahara;;;;;;;;;;
5F5B1550-AF99-2E86-2BAA-5A626BA06A44;Как похудеть женщинам при гормональном сбое;kak-pohudet-zhenschinam-pri-gormonalnom-sboe-;;;;;;;;;;
28FEB949-301E-E91D-FD95-9A0BDF978EE8;Полезные продукты и олиготерапия;poleznye-produkty-i-oligoterapiya;;;;;;;;;;
505FAB49-D351-0092-D4B8-D753CE37D3E5;Как похудеть без вреда;kak-pohudet-bez-vreda;;;;;;;;;;
542D29F8-017D-5E91-938F-6C5A75D1639F;Как быстро похудеть при помощи радикальной диеты;kak-bystro-pohudet-pri-pomoschi-radikalnoy-diety;;;;;;;;;;
99BB8653-3467-D06B-7331-58BDEBCE97D8;Как сбросить вес без строгих диет;kak-sbrosit-ves-bez-strogih-diet;;;;;;;;;;
3769B209-61ED-0694-0600-A0B683FFA6AE;Какая диета помогает при гастрите;kakaya-dieta-pomogaet-pri-gastrite;;;;;;;;;;
0D061B37-3884-E51E-B58B-D773FBFE59BD;Какие существуют мифы о похудении;kakie-mify-o-pohudenii-suschestvuyut;;;;;;;;;;
9F31AF26-C769-DB37-2494-1EFAF8F36DA6;"Интуитивное питание &mdash; диета без запретов";intuitivnoe-pitanie----dieta-bez-zapretov;;;;;;;;;;
33A2B811-167F-CAB5-FAD2-BCE767D16703;Какие продукты можно есть при диабете;kakie-produkty-mozhno-est-pri-diabete;;;;;;;;;;
99A41B44-42B1-838E-686B-B04B0B349B6C;Рацион кормящей матери: арбузы и дыни;racion-kormyaschey-materi-arbuzy-i-dyni;;;;;;;;;;
428D86E6-D6F7-D103-4093-55F0BB673AAB;Какую стевию предпочесть: в порошке или таблетках;kakuyu-steviyu-predpochest-v-poroshke-ili-tabletkah;;;;;;;;;;
49A0F5C4-2C7A-AECD-2CEF-4DD7C47AED20;Как сбросить вес в короткий срок;kak-sbrosit-ves-v-korotkiy-srok;;;;;;;;;;
36CB871A-DBD8-F965-4A32-4E8504CE09D1;Какие продукты исключить, чтобы похудеть;kakie-produkty-isklyuchit-chtoby-pohudet;akUj-kJExPE;;;;;;;;;
ECD45309-1581-9CF6-4948-C22A099A2200;Как уменьшить вес после 40 лет;kak-umenshit-ves-posle-40-let;;;;;;;;;;
ED441E66-20A8-312F-E73C-F5174B68D748;Диета при гепатите А;dieta-pri-gepatite-a;;;;;;;;;;
0B8FECA9-F8FC-2FD4-D100-3474C3C93707;Можно ли есть конфеты при гастрите;mozhno-li-est-konfety-pri-gastrite;vlXA4fk4Nn4;;;;;;;;;
4C839C31-87B2-AFA8-4E68-D5D28701AC2A;Какие сладости можно есть при похудении;kakie-sladosti-mozhno-est-pri-pohudenii;;;;;;;;;;
DE1D8605-8C05-7209-0DA9-1DCBFD5242C1;"Как спрыгнуть со &quot;сладкой иглы&quot;?";kak-sprygnut-so-sladkoy-igly;;;;;;;;;;
422F25FE-C493-492A-FF0C-0C63CE2950AC;Какие женщины во время беременности не полнеют;kakie-zhenschiny-vo-vremya-beremennosti-ne-polneyut;;;;;;;;;;
4DAF64D5-2398-CEFC-5F04-4EF22101942A;Клетчатка в аптеке: свойства;kletchatka-v-apteke-svoystva;;;;;;;;;;
194B559A-29C0-71B0-A0B8-B3F08200395B;Как худела Ксения Бородина: диета;kak-hudela-kseniya-borodina-dieta;;;;;;;;;;
2F992A43-60C4-A175-783B-8EAC7B7E14EF;Раздельное питание как образ жизни;razdelnoe-pitanie-kak-obraz-zhizni;;;;;;;;;;
21EEE107-5B21-74C7-8902-46CED82A7064;Секреты звезд: как быстро похудеть перед важным событием;sekrety-zvezd-kak-bystro-pohudet-pered-vazhnym-sobytiem;udbH7X6LpfY;;;;;;;;;
FD7D60E2-2D3B-E3C7-B662-BD77A8279068;Как быстро похудеть с помощью диеты на картофеле;kak-bystro-pohudet-s-pomoschyu-diety-na-kartofele;;;;;;;;;;
EDFDBCC1-A44F-BE41-CE31-359D3AEC883B;Как принимать ванну с содой для похудения;kak-prinimat-vannu-s-sodoy-dlya-pohudeniya;h4ueUx8Luyw;;;;;;;;;
DA427DE9-8430-F468-0B5D-98EA45FD264A;Какие сладости разрешается есть на диете;kakie-sladosti-razreshaetsya-est-na-diete;;;;;;;;;;
90CBCB9E-060F-5A09-12E5-9A1CA9521DE4;Как бороться с мигренями с помощью питания;kak-borotsya-s-migrenyami-s-pomoschyu-pitaniya;;;;;;;;;;
1E11BDF8-8CD8-A1D7-4E37-E81E56D5DFA8;От каких фруктов можно потолстеть;ot-kakih-fruktov-mozhno-potolstet;;;;;;;;;;
4917CF1C-9F59-C875-012E-7EDC9D300ECA;Аюрведа. Похудеть без диет;ayurveda-pohudet-bez-diet;2Rbat7UnwFQ;;;;;;;;;
174F0E9A-0FD1-CB20-D254-DF9659EAF48B;Быстрая детокс-диета: как очистить организм и похудеть за 3 дня;bystraya-detoks-dieta---kak-ochistit-organizm-i-pohudet-za-3-dnya;_dPZq85UuBU;;;;;;;;;
4181124E-12B2-CB38-2DAD-8920FF70D63F;Как сделать так, чтобы кишечник работал идеально;kak-sdelat-tak-chtoby-kishechnik-rabotal-idealno-;;;;;;;;;;
6A80619F-F8C5-67A1-A8E1-D522355309D6;От каких продуктов стоит отказаться, если хочешь похудеть;ot-kakih-produktov-stoit-otkazatsya-esli-hochesh-pohudet;;;;;;;;;;
D9ED05C5-D5CD-06E8-50C1-C4F507ABEEB9;Как на самом деле начать сбрасывать вес;kak-na-samom-dele-nachat-sbrasyvat-ves;BGPL8IWyXgI;;;;;;;;;
A96507A6-2EC1-7331-79CD-4364A066B953;Как нужно питаться, чтобы быть здоровым;kak-nuzhno-pitatsya-chtoby-byt-zdorovym;39H2cpgHqyk;;;;;;;;;
D2E5265E-90B6-EC10-63F6-9A2F066C6745;Семя льна для похудения;semya-lna-dlya-pohudeniya;;;;;;;;;;
5CF7E4A3-E35A-B9A2-9DAD-66EE0377DB8F;Как снизить холестерин;kak-snizit-holesterin;d7x92HX-7QU;;;;;;;;;
8505C1BE-6E3D-74A4-8007-E0D5CB36DCBA;Как похудеть за месяц на 5 кг в 2018 году;kak-pohudet-za-mesyac-na-5-kg;;;;;;;;;;
BB464285-4875-9D26-1CC9-17C9B4196508;Как питаться, чтобы не толстеть;kak-pitatsya-chtoby-ne-tolstet;;;;;;;;;;
43D0FFEA-6C9F-3A00-E86D-C93D63C21EC7;Правильное питание для набора веса;pravilnoe-pitanie-dlya-nabora-vesa;;;;;;;;;;
9201FE38-AD05-7BED-7FCC-D5CE70AAF2E1;Как обмануть желудок и мозг, создав чувство сытости;kak-obmanut-zheludok-i-mozg-sozdav-chuvstvo-sytosti-;;;;;;;;;;
C568236F-FCC5-ACCA-D255-7CCFBCA2731A;В каких фруктах мало сахара;v-kakih-fruktah-malo-sahara;;;;;;;;;;
315271C3-F8D9-1942-F260-1375DEA9E31F;"Выбор диеты &ndash; первый шаг к похудению";vybor-diety---pervyy-shag-k-pohudeniyu;;;;;;;;;;
31A13A10-2458-C912-9F6F-2594310DDB2C;Как подготовиться к голоданию;kak-podgotovitsya-k-golodaniyu;;;;;;;;;;
8CC1A182-5998-46F3-1BA0-B6E89CAA0E40;Какой протеин лучше всего подходит для похудения;kakoy-protein-luchshe-vsego-podhodit-dlya-pohudeniya-;;;;;;;;;;
273B45D3-F6CD-9529-889F-5AB01811EA3D;Монодиета. Польза или вред?;monodieta-polza-ili-vred;xiP7hm82fEo;;;;;;;;;
103718B6-4AC3-06D2-C017-834D8D1C5E70;Как выбрать методику похудения;kak-vybrat-metodiku-pohudeniya;7mP12kvFsqc;;;;;;;;;
652959A7-65C0-711F-9811-C0E3BCF72373;Питание при диабете;pitanie-pri-diabete;;;;;;;;;;
3303E4E8-3983-838D-29B6-D8F717EE8A7B;Полезные разгрузочные дни;poleznye-razgruzochnye-dni;;;;;;;;;;
C8550CFF-2851-B997-384D-97A17EEC0D2F;Продукты, которые избавят от жира на животе;produkty-kotorye-izbavyat-ot-zhira-na-zhivote;80zTaURWFhk;;;;;;;;;
C07D9450-EACC-26BD-9E8B-7E862847BEC5;Как использовать полезные свойства корицы для похудения;kak-ispolzovat-poleznye-svoystva-koricy-dlya-pohudeniya;dHhngZTsaDE;;;;;;;;;
1A60215E-AFED-C2DE-37F9-3CC94327DD85;Какие витамины полезны для мужчин;kakie-vitaminy-polezny-dlya-muzhchin;_uxbqDIj3d4;;;;;;;;;
728FABA7-1B97-582B-4A6D-239FB1D33A91;От чего особенно быстро толстеют;ot-chego-osobenno-bystro-tolsteyut-;;;;;;;;;;
D4067F20-75F9-B5AF-0A10-63651E45102A;Правила и принципы грейзинга;pravila-i-principy-greyzinga;;;;;;;;;;
3C3FD414-2AB7-ADF6-4825-9471DF07DE76;Какие продукты запрещены при атопическом дерматите;kakie-produkty-zaprescheny-pri-atopicheskom-dermatite;;;;;;;;;;
A9941DA0-50DE-7736-30AE-5F073DD72DF0;Как похудеть на 10 кг без вреда здоровью;kak-pohudet-na-10-kg-bez-vreda-zdorovyu;;;;;;;;;;
FC9C79A5-E8D3-6EAD-9762-972005071F0E;Какую лучше выбрать диету для похудения;kakuyu-luchshe-vybrat-dietu-dlya-pohudeniya;8thiJWWgPwk;;;;;;;;;
2BDD5CB9-9289-7457-440F-663481DEE2EA;Какая диета лучше: рисовая или гречневая;kakaya-dieta-luchshe-risovaya-ili-grechnevaya;;;;;;;;;;
63701A5F-83A9-A7B9-A1C1-E07FFB19B59D;Гормоны молодости;gormony-molodosti;;;;;;;;;;
5F622AF2-755E-5579-7674-65BC35424550;Помогают ли похудеть хлопья "Фитнес" на завтрак;pomogayut-li-pohudet-hlopya-fitnes-na-zavtrak;;;;;;;;;;
EAFAFD42-07BC-E042-03D0-EEB91F60CB26;Питание при сахарном диабете второго типа у взрослых;pitanie-pri-saharnom-diabete-vtorogo-tipa-u-vzroslyh;;;;;;;;;;
6CA2E930-86B2-61D5-0F86-EBE4431FEF8F;Что делать, чтобы поправиться;chto-delat-chtoby-popravitsya;;;;;;;;;;
6ECFE875-8436-905D-285A-FAE5CFEDD43D;Хотите похудеть? Ешьте здоровую пищу!;hotite-pohudet-eshte-zdorovuyu-pischu;;;;;;;;;;
BDEEAB00-5BB6-D29A-013E-C6FE17DDB89C;Топ запрещенных продуктов во время диеты;top-zapreschennyh-produktov-vo-vremya-diety;;;;;;;;;;
A36EEC7C-E097-ACC0-D713-99FDCC2E518A;Президентская диета;prezidentskaya-dieta;;;;;;;;;;
B63DC899-CD36-4508-7DF9-D473E437EE6C;Что нельзя при панкреатите;chto-nelzya-pri-pankreatite;;;;;;;;;;
5DE852AC-6CCF-B9B7-47BD-97A6925057EA;Напиток с историей длиной в тысячелетие;napitok-s-istoriey-dlinoy-v-tysyacheletie;;;;;;;;;;
EC64C9A2-6E6C-0A84-7B6E-57894FD72B42;Диета для сушки тела (минус 10 кг);dieta-dlya-sushki-tela-minus-10-kg;;;;;;;;;;
1851E965-DE55-E99A-B913-BC546B3F625A;Как быстро похудеть;kak-bystro-pohudet;;;;;;;;;;
3A667A4E-9ED2-60E5-E2B7-8EFC4BBBF080;Как научиться пить 2 литра воды (жидкости) в день;kak-nauchitsya-pit-2-litra-vody-zhidkosti-v-den;JRbczDEYkdI;;;;;;;;;
BF7DCA7D-FBA4-746B-D87F-5816AE9F4C09;Диета Монтиньяка: худеть без ограничений в еде;dieta-montinyaka-hudet-bez-ogranicheniy-v-ede;0xq_omcP4Fk;;;;;;;;;
B7348B6E-050D-0883-F2B9-4D118AAE88EF;Диеты и питание: что нужно знать об этом тем, кто решил начать ЗОЖ;diety-i-pitanie-chto-nuzhno-znat-ob-etom-tem-kto-reshil-nachat-zozh;;;;;;;;;;
2C3AEAD7-16BD-6500-1AFB-99938A45EA84;Диета грешников;dieta-greshnikov;;;;;;;;;;
E299DD0C-1337-CCDA-EEE5-3327BE405C47;Связь между диетами и внешним видом;svyaz-mezhdu-dietami-i-vneshnim-vidom;;;;;;;;;;
0035E781-77C5-DB1E-171A-5090D351E22C;Какие специи помогают избавиться от лишнего веса;kakie-specii-pomogayut-izbavitsya-ot-lishnego-vesa;;;;;;;;;;
CF98147A-FBC5-006A-D77F-4E657E999D87;Как быстро похудеть после кесарева сечения;kak-bystro-pohudet-posle-kesareva-secheniya;;;;;;;;;;
FFDAF29D-668E-B30F-991B-402DD7E5CE58;Как часто можно пить пиво;kak-chasto-mozhno-pit-pivo;VOd2FUN5F_4;;;;;;;;;
A9A87346-2A72-4CEA-F432-E43403CFE4C1;Как похудеть без негативного воздействия на здоровье;kak-pohudet-bez-negativnogo-vozdeystviya-na-zdorove;ZMxidI-OwJI;;;;;;;;;
FB0F8AFA-BB1C-5353-ECDF-CAC560E5C944;Каково меню при желчекаменной болезни;kakovo-menyu-pri-zhelchekamennoy-bolezni;;;;;;;;;;
51D302FD-D2EC-4539-D73C-BBC3C45E0916;Готовим организм к лету;gotovim-organizm-k-letu;;;;;;;;;;
5820C415-E39C-3DB9-2492-0A426AB18406;Диета Пьера Дюкана для похудения;dieta-pera-dyukana-dlya-pohudeniya;;;;;;;;;;
2E11B3FB-3D20-073D-93F5-0E4B3F1EBAFE;Диета Инны Волович;dieta-inny-volovich;EgMpR2hDOA4;;;;;;;;;
43AF3F14-1073-63A5-6ABF-4CB8DBE7EB11;Какая диета нужна при ацетоне в моче;kakaya-dieta-nuzhna-pri-acetone-v-moche;zSk0megFQ1w;;;;;;;;;
CADD5478-7961-E682-376B-39B736E6686B;Как похудеть: японская диета;kak-pohudet--yaponskaya-dieta;;;;;;;;;;
F483CFD4-485E-A0F3-CC9E-44F596A82643;Как похудеть на коктейле;kak-pohudet-na-kokteyle;;;;;;;;;;
5DE76B59-42B3-6D9D-702D-A50586F172A9;Как не набрать вес осенью;kak-ne-nabrat-ves-osenyu;;;;;;;;;;
D06C429A-B06A-605B-37A3-2BE53A91ACCC;Пивной живот: причины;pivnoy-zhivot-prichiny;;;;;;;;;;
81B3FFE0-5D33-816A-6660-2D52CD69E171;Советы для похудения;sovety-dlya-pohudeniya;;;;;;;;;;
AA601B85-9223-D9F9-18C8-6EBE7DC84836;Диета с низким содержанием углеводов (без употребления сладкого и мучного);dieta-s-nizkim-soderzhaniem-uglevodov-bez-upotrebleniya-sladkogo-i-muchnogo;;;;;;;;;;
2007DF9B-F265-8FE4-49E6-4E801749B8F3;Как похудеть в кратчайшие сроки;kak-pohudet-v-kratchayshie-sroki;;;;;;;;;;
778D8CE9-DB22-B413-5F1E-A3935438E755;Вредно ли быстро худеть?;vredno-li-bystro-hudet;;;;;;;;;;
B1313CD8-5CD6-D332-ACE9-69B60830D06B;Как правильно употреблять грейпфрут для похудения;#NAME?;;;;;;;;;;
8D2474C0-65BC-3137-FCCD-1774D714A1C5;Как правильно питаться весной;kak-pravilno-pitatsya-vesnoy;QEevN4813u4;;;;;;;;;
689EFB20-64E7-392A-502F-E694F3AFD381;Как правильно голодать, чтобы похудеть;kak-pravilno-golodat-chtoby-pohudet;fikA3rGHNg0;;;;;;;;;
FC977D22-19DB-0F3C-B712-8CAECE0931DC;Как похудеть с льняным семенем;kak-pohudet-s-lnyanym-semenem;;;;;;;;;;
FBFA28B2-55CF-B9E9-404D-E19E9844C7B7;Вредны ли обезжиренные молочные продукты для здоровья;vredny-li-obezzhirennye-molochnye-produkty-dlya-zdorovya;CDKz1yEIc_Y;;;;;;;;;
5F1200F9-0671-E5AC-F057-A97BC5ADEF26;Что можно есть, сидя на диете;chto-mozhno-est-sidya-na-diete-;;;;;;;;;;
2101B25A-1C9D-6118-7D3F-5C66862CC89A;Рацион питания для похудения;racion-pitaniya-dlya-pohudeniya;mWkJWWnMS5I;;;;;;;;;
4FF36332-89A1-54D2-96E2-C5DE381CEC12;Питание при сахарном диабете 2-го типа;pitanie-pri-saharnom-diabete-2-go-tipa;;;;;;;;;;
605CFF1D-3D63-5AB6-C1D5-70F2E32A2EC0;Льняное масло для похудения;lnyanoe-maslo-dlya-pohudeniya;fT47ZjCduio;;;;;;;;;
72E31360-4729-E310-0D4A-C6BB11EA5A6E;Как перестать хотеть есть;kak-perestat-hotet-est;;;;;;;;;;
F2FF6BF2-5AA5-AF57-C140-98E33B9F5BDA;Как можно похудеть, если пить воду;kak-mozhno-pohudet-esli-pit-vodu;;;;;;;;;;
55CEFC65-26EE-23FE-107A-CCA2B0957360;Летняя диета: как быстро скинуть лишние килограммы;letnyaya-dieta-kak-bystro-skinut-lishnie-kilogrammy;;;;;;;;;;
AC35BAE9-52C3-DC68-EAFA-D5134F69B68C;Как понизить уровень глюкозы к крови;kak-ponizit-uroven-glyukozy-k-krovi;LOZzNbj0xH4;;;;;;;;;
01013911-C9BA-3631-DCA0-3A6173090528;Шесть полезных советов, которые помогут легко похудеть сладкоежке;shest-poleznyh-sovetov-kotorye-pomogut-legko-pohudet-sladkoezhke;;;;;;;;;;
06BA8CC1-8E61-6837-F233-CA0B7C969E87;Какие продукты способствуют набору веса;kakie-produkty-sposobstvuyut-naboru-vesa;_FYdmM8DNIY;;;;;;;;;
FF74E1DA-462C-B01F-B0EA-7F0362B96FA6;Как похудеть при нарушенном обмене веществ;kak-pohudet-pri-narushennom-obmene-veschestv;;;;;;;;;;
3CF327C8-45FA-DCCE-AC99-0B49C7027444;Как сбросить лишний вес без спорта и диет;kak-sbrosit-lishniy-ves-bez-sporta-i-diet;jL-QVwMVzE0;;;;;;;;;
50F129FE-C182-F8A9-32C6-33D223512B94;Капустная диета;kapustnaya-dieta;;;;;;;;;;
DF10DDE2-90AB-7ECD-ABCE-AFF17AEF0968;Переедание и методы его контроля;pereedanie-i-metody-ego-kontrolya;;;;;;;;;;
87145307-AADF-18E7-0244-ADC4D6B112BF;Какой должна быть диета при синдроме Жильбера;kakoy-dolzhna-byt-dieta-pri-sindrome-zhilbera;AGPE3GubfVI;;;;;;;;;
10BA63A9-6580-98DB-51F1-2B2AF933E112;Как питаться на низкобелковой диете;kak-pitatsya-na-nizkobelkovoy-diete;NjxVnGcy9MY;;;;;;;;;
050E8FE1-545D-6781-B659-58C25EE1C24F;"Продукты &quot;умной&quot; диеты, помогающие работе мозга";produkty-umnoy-diety-pomogayuschie-rabote-mozga;;;;;;;;;;
871B67F2-D28E-69B2-B570-7690B527D42D;Похудеть на 16 кг за 4 месяца: миссия выполнима;pohudet-na-16-kg-za-4-mesyaca-missiya-vypolnima;;;;;;;;;;
5C6EF321-A19E-8667-39AC-0D5541734D0A;Как сбросить 5 кг за неделю;kak-sbrosit-5-kg-za-nedelyu;;;;;;;;;;
C795C2C2-16BC-4521-1B4A-A9D3D66EE6FA;Модные диеты за последние 100 лет;modnye-diety-za-poslednie-100-let;;;;;;;;;;
